company_name,address,company_type,description
1ST CALL CONSULTING CO INC,"537 EAST BROADWAY SUITE 4 Long Beach, New York 11561 United States",Business Services,1ST CALL CONSULTING CO INC
1st Choice Hair & Beauty Supply Store,"312 Azalea Road Mobile, Alabama 36609 United States",Legal,1st Choice is a black-owned hair and beauty supply store. We specialize in black hair and beauty products.
"1ST CHOICE INVESTMENT GROUP, LLC","3540 CRAIN HIGHWAY, #363 Bowie, Maryland 20716 United States",Transportation,Our Commitment to You Availability - Reliable transportation. Accessibility - Door to door service. Acceptability - Clean and safe.
1ST CHOICE TOWING AND RECOVERY,"P.O. BOX 7439 HALETHORPE, Maryland 21227 United States",Automotive Services,1ST CHOICE TOWING AND RECOVERY
1st Choice TRansportation Services INC,"7116 Idlewild Road Charlotte, North Carolina 28212 United States",Transportation,1st Choice TRansportation Services INC
"1ST CHOICE, LLC","400 E. PRATT STREET Baltimore, Maryland 21202 United States",Professional Services,"1st Choice has provided a variety of professional services to local, state, and federal government agencies, as well as many commercial and non-profit"
1st Class Cleaning Services,"701 Myrtle Ave Baton Rouge, Louisiana 70802 United States",Industrial Supplies & Services,"Provides professional, affordable, and customized cleaning, moving, maintenance, and lawn care services to businesses and homes in the Baton Rouge"
"1ST HEALTH STAFFING, INC.","1730 BANK STREET Baltimore, Maryland 21224 United States",Health,"1ST HEALTH STAFFING, INC."
1ST HEATING SOLUTIONS LLC,"619 OAKSIDE ROAD YORKTOWN, New York 10598 United States",Buliding & Construction,1ST HEATING SOLUTIONS LLC
1st Hope Fire Extinguisher Servcie,"7694 Sam Hall Road P.O.Box 727 Oxford, North Carolina 27565 United States",Uncategorized,1st Hope Fire Extinguisher Servcie
"1ST JMG & ASSOCIATES, LLC","12006 BRANDYWINE ROAD Clinton, Maryland 20735 United States",Information Technology,1st JMG & Associates specializes in Enterprise Architecture Solutions and IT program management for the Federal Government and Public Sector organizat
1ST RESOURCE SOLUTIONS LLC,"1811 N. DUMONT DRIVE Marion, Indiana 46952 United States",Uncategorized,MISC DURABLE GOODS;
"1ST RESOURCE SOLUTIONS, LLC","1811 N. Dumont Drive Marion, Indiana 46952 United States",Buliding & Construction,Regular Dealer for other Construction Material ;
1st Resources Solutions LLC,"1811 N. Dumont Drive Marion, Indiana 46952 United States",Buliding & Construction,Supplier: Construction Supplies to General Contractors
2 SMART PRODUCTIONS INC.,"P.O. BOX 31817 GWYNN OAK, Maryland 21207 United States",Professional Services,"2 Smart Productions specializes in video technology marketing. In fact, our teams of strategists, writers, editors, and production staff have worked i"
2 WAY STRIPING,"3222 WESTHOFF DR. Grand Prairie, Texas 75052 United States",Uncategorized,"Parking Lot Striping & Signs, Poles, Stencils"
2002 MPH DIVERSIFIED,"11708 S. MANHATTAN PLACE Los Angeles, California 90047 United States",Transportation,TRUCKER; SUPERDUMP TRUCK;
216 RESOURCES INC,"10700 RICHMOND STE 154 Houston, Texas 77042-3208 United States",Buliding & Construction,"Aggregate material, construction equip and hauling services."
"24 TRANSPORT, INC.","4929 WHISPERING STREAM CT. Fort Worth, Texas 76179 United States",Transportation,Provide services to the oil and gas industry including storage and transportation of production chemicals
24-7 DELIVERY SERVICE,"7100 REGENCY SQUARE SUITE 129 Houston, Texas 77036 United States",Uncategorized,Delivery Service
"24/7 COMPUTER DOCTORS, LLC","7940 COVINGTON AVENUE Glen Burnie, Maryland 21061 United States",Information Technology,"Our Technical Experts maintenance program which covers services for your router, desktop, server, printer with a predictable monthly payment"
24/7 TRUCKING INC,"180 WOODMAN ST San Diego, California 92114 United States",Transportation,END DUMP TRUCK; TRUCKER; END DUMP TRUCK;
"2BD ENTERPRISES, LLC","5200 MITCHELLDALE ST STE E11 Houston, Texas 77092-7222 United States",Uncategorized,Genesis in a health care facility that offers interdisciplinary Interventional Pain Management.
"2C BUILDING SERVICES, LLC","1711 SE 10TH AVE STE 202 Portland, Oregon 97214 United States",Industrial Supplies & Services,JANITORIAL SERVICES
"2CLEAN COMMERCIAL CLEANING SERVICES, LLC","P. O. BOX 211 RIVERDALE, Maryland 20737 United States",Industrial Supplies & Services,We are a commercial cleaning company specializing in all forms of office cleaning in janitorial service throughout the Washington DC and Maryland area
"2K CONTRACTING, INC.","7804 GLADSTONE Houston, Texas 77051 United States",Buliding & Construction,Residential Construction
"2M RESEARCH SERVICES, LLC","1305 GRAYHAWK DR. Mansfield, Texas 76063-5555 United States",Uncategorized,"public health research firm, clinical research support, program evaluation, technical assistance and training, education research, social policy, epid"
2MEART.COM LLC,"3663 SKYLINE DRIVE Hayward, California 94542 United States",Uncategorized,"Decals, Signs;"
2R TRUCKING & DIRT WORK LLC,"305 E. UNION ST. Minden, Louisiana 71055 United States",Transportation,Trucking; Clearing and Grubbing; Excavation and Embankment
3 DJ GREEN REAL ESTATE BROKERS INC,"2276 RALPH AVENUE BROOKLYN, New York 11234 United States",Business Services,3 DJ GREEN REAL ESTATE BROKERS INC
"3 FARMER ENTERPRISES, INC.","PO BOX 9356 Tyler, Texas 75711-9356 United States",Buliding & Construction,"Construction: General Commercial & Residential, Maintenance"
3 Js Curb,"77 Salem Court Altamonte Springs, Florida 32701- United States",Buliding & Construction,Forming and Finishing Concrete
3 PHASE CONSTRUCTION,"4150 INTERNATIONAL PLAZA, SUITE 600 FT WORTH, Texas 76119-3578 United States",Buliding & Construction,"Flat concrete work consisting of foundation, side walks, and parking lots. Metal framing structures of buildings and framing of custom homes."
"3-C TECHNOLOGY, L.L.C.","3200 W, PLEASANT RUN ROAD STE 330 Lancaster, Texas 78146-1087 United States",Information Technology,"Reseller of IT products and services. Computers and supplies, printers and peripherals, faxes, audiovisual and supplies. Computer maintenance and rep"
"3-J COMMUNICATION DESIGN & SERVICES,","PO BOX 170175 Arlington, Texas 76003-0175 United States",Professional Services,"IT SVC-PC Laptop & Desktop Support, Wireless Conectivity, Network Support, And Telecommunication Engineering Design"
"3-TTT PROPERTIES,LLC","10101 FONDREN RD # RS SUITE 244 Houston, Texas 77096-4564 United States",Buliding & Construction,General Construction Commercial and Residential.
300 B&B CONSTRUCTION DEVELOPMENT LLC,"454 VAN DUZER STREET APT E-4 STATEN ISLAND, New York 10304 United States",Buliding & Construction,300 B&B CONSTRUCTION DEVELOPMENT LLC
326 DATACOM,"103 SILVER SPUR Blanco, Texas 78606-5191 United States",Uncategorized,"Telephone Installation and wiring. To include voice and data. Telecommunications rental or leasing, repair and maintenance."
360 Degree Games,"403 Mare Ct Bahama, North Carolina 27503 United States",Uncategorized,360 Degree Games
"360 TOTAL CONCEPT CONSULTING, LLC","555 12TH STREET, SUITE 1900 Oakland, California 94607 United States",Professional Services,"CONSULTANT, NON ENGINEERING; BUSINESS ADMINISTRATION; CONSULTANT, PROJECT MANAGEMENT/ BUSINESS ADMIN;"
3AM STRATEGIES & CONSULTING,"303 ARBOR GREEN LANE Rosenberg, Texas 77469 United States",Uncategorized,Consulting and Training
"3B RESOURCES GROUP PUBLIC RELATIONS, LLC","7823 CHASEVIEW DRIVE Missouri City, Texas 77235-5582 United States",Professional Services,"combines unique style and industry knowledge to achieve the public relations needs of our diverse client base. We are poised to assist individuals, sm"
3D BUILDERS INC,"17183 80th STREET N LOXAHATCHEE, Florida 33470- United States",Buliding & Construction,GENERAL CONTRACTOR
"3D Construction, LLC","189 Ophelia Street Providence, Rhode Island 02909 United States",Buliding & Construction,place and finish concrete and curbing
3D DISCOVERY MARKETING,"342 W BROWNLEE AVE Dallas, Texas 75224-3536 United States",Professional Services,"Services include: marketing,personal development training, coaching, educational/training for youths(elementary and high school)and adults, workshop d"
3D VISIONS PLANNING CONSULTANTS,"6802 CHAMPION VILLAGE COURT Houston, Texas 77069 United States",Business Services,Planning Development Consulting/Business Consulting Services Only
3E CONSULTANTS INC,"7320 NARCOOSSEE ROAD SUITE A Orlando, Florida 32822 United States",Home & Garden,ENVIRONMENTAL CONSULTING WETLAND DELINEATION PROTECTED WILDLIFE SPECIES SURVEYS MITIGATION PLANNING ETC
3I CONSTRUCTION LLC,"400 N. ST. PAUL, STE. 420 Dallas, Texas 75201 United States",Buliding & Construction,Industrial Building Construction
3MB INTERIOR PLUS,"14090 SOUTHWEST FWY STE 300 Sugar Land, Texas 77478-3679 United States",Uncategorized,"Sell furniture products,accessories,office supplies,lighting fixtures and physical plant faculties industrial products."
"3T CONSTRUCTION, INC.","8805 MIRROR LAKE WAY Laurel, Maryland 20723 United States",Buliding & Construction,"3T CONSTRUCTION, INC."
4 BABIES ON THE GO,"3857 BIRCH STREET #215 Newport Beach, California 92660 United States",Apparel & Accessories,"APPAREL, PIECE GOODS, & NOTIONS; MISC SHOPPING GOODS STORES;"
4 EVER GREEN LAWN CARE,"3402 FLANNERY LANE Baltimore, Maryland 21207 United States",Home & Garden,4 EVER GREEN LAWN CARE
"4 J Construction Company, Inc","P.O. Box 79 Dyer, Tennessee 38330 United States",Buliding & Construction,"4 J Construction Company, Inc"
4 SONS TRUCKING INCORPORATED,"912 E. CALHOUN AVE Waco, Texas 76704 United States",Transportation,Commercial Trucking Business.
"4 W SOLUTIONS, INC.","5330 GRIGGS ROAD BOX 42, SUITE A116 Houston, Texas 77021 United States",Information Technology,Computer Support/Management Consulting/Communication/Educational Support Services
"4001, INC","2301 SINCLAIR LANE Baltimore, Maryland 21213 United States",Transportation,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL (SPECIFICALLY; TANKER TRUCKING - PETROLEUM/FUEL OIL, LOCAL)"
"459 ENTERPRISES, LLC","2120 W. BRAKER LN., SUITE H Austin, Texas 78758-4064 United States",Professional Services,"We also audio visual, surveillance and security solutions."
"4CP-FOR COMPLETE PRODUCTION SOLUTIONS, LLC","320 KENDIGS MILL ROAD Owings Mills, Maryland 21117 United States",Professional Services,"4CP is a reliable independent print management company with experience in implementing outsourced print management programs designed to reduce cost, a"
4EVOLUTION INC,"7466 Narcoossee Road Suite G Orlando, Florida 32822 United States",Buliding & Construction,ELECTRICAL CONTRACTOR
5 STAR ENTERPRISE INCORPORATED,"P O BOX 43545 Atlanta, Georgia 30336-0000 United States",Industrial Supplies & Services,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS
"5 STAR ENTERPRISE, INC.","4705 BAKERS FERRY RD. SUITE G Atlanta, Georgia 30336 United States",Uncategorized,"SOAP, CLEANERS, & TOILET GOODS; INDUSTRIAL ORGANIC CHEMICALS; MISC CHEMICAL PRODUCTS;"
5 Star Legal Services P.L.L.C.,"1515 East Apollo Road Phoenix, Arizona 85042 United States",Uncategorized,"Mobile notary, process serving and court runner services."
5 Stars Cleaning & Services,"202 E McDowell Rd #236 Phoenix, Arizona 85004 United States",Industrial Supplies & Services,Janitorial services
522 CAPITAL PARTNERS LLC,"P O BOX 4146 GRAND CENTRAL STATION New York, New York 10163 United States",Business Services,522 CAPITAL PARTNERS LLC
"6 DEGREES CONSULTING, INC.","6545 HAMILTON AVENUE, SUITE 1A Pittsburgh, Pennsylvania 15206 United States",Buliding & Construction,"A minority owned subcontractor and supplier of construction services and materials. specializing in interior drywall finishes, carpentry and select co"
7 K CORP,"9534 SW 160TH STREET Miami, Florida 33157-3300 United States",Food & Dining,FOOD SERVICE CONTRACTORS
718 CONSULTING INC,"172-19 BAISLEY BLVD JAMAICA, New York 11434 United States",Business Services,718 CONSULTING INC
72 Madison Group,"Paterson, New Jersey United States",Professional Services,"Event Marketing, Business Gifts, Self Promotion, Employee Relations, Trade Shows, Public Relations, Brand Awareness, Motivation/Incentives, Fundraisin"
73LEO EVENTS,"11114 RIMCREST DR. Arlington, Texas 76017 United States",Uncategorized,"ARRANGE EVENTS OF ALL KIND FOR PROFIT (I.E.,CONVENTIONS, CORPORATE FUNCTIONS,WEDDINGS,FESTIVALS,ETC...)"
"7EAVEN GLOBAL CONSTRUCTION, LLC","4752 LEMONWOOD ST Baton Rouge, Louisiana 70805 United States",Buliding & Construction,Building Construction; FLOORING; Wall Covering and Painting; Residential Building Construction; Drywall Contractor
"8 Star Construction, Inc.","9349 China Grove Road Pineville, North Carolina 28134 United States",Buliding & Construction,"8 Star Construction, Inc."
91 FLYING G. TRUCKING LLC,"15351 E HWY 90 Kingsbury, Texas 78638 United States",Finance & Legal,"Other Services, including Legal Services,"
911 ALARM SYSTEMS INC,"78 WAHL AVENUE Inwood, New York 11096 United States",Business Services,911 ALARM SYSTEMS INC
911 SECURITY SERVICES INC,"58-23 VAN CLEEF ST CORONA, New York 11368 United States",Business Services,911 SECURITY SERVICES INC
9TH DIMENSION CLEANING & PAINTING L.L.C.,"8710 N SWENSON ST Portland, Oregon 97203 United States",Buliding & Construction,"Offers many services, ranging from construction services to cleaning and painting of apartments, townhouses, and multi-family housing."
A & A ASSOCIATES INC,"731 WASHINGHTON AVENUE BROOKLYN, New York 11238 United States",Home Repair & Improvement,"Plumbing, Heating, and Air-Conditioning"
"A & A CONSTRUCTION AND UTILITIES, INC.","P. O. BOX 47546 Baltimore, Maryland 21244 United States",Buliding & Construction,"A & A CONSTRUCTION AND UTILITIES, INC."
A & A Plumbing of Milwaukee,"9401 W. Beloit Road #114 Milwaukee, Wisconsin 53227 United States",Uncategorized,Sewer/Utility Other Miscellaneous Vehicle & Building Maintenance
"A & A PREMIUM PAINT DISTRIBUTOR, LLC","5521 COLORADO AVENUE, NW, #402 Washington, District of Columbia 20011 United States",Home Repair & Improvement,"A & A Premium Paint Distributor, LLC offers a wide range of coating, painting, and painting supply services."
"A & B / MCKEON GLASS, INC.","69 ROFF STREET STATEN ISLAND, New York 10304 United States",Buliding & Construction,"A & B / MCKEON GLASS, INC."
A & B ELECTRIC,"481 W. EASTON AVENUE, Rialto, California 92376 United States",Buliding & Construction,ELECTRICAL; RESIDENTIAL ELECTRICAL;
A & B ENGINEERING INC (FORMERLY ADAIR AND BRADY INC),"3461 FAIRLANE FARMS RD Wellington, Florida 33414 United States",Professional Services,ENGINEERING SERVICES
A & D Media,"Oaklyn, New Jersey United States",Professional Services,"Social Media and Digital Marketing Solutions For Small Business. Social Media, Website Design, SEO, Marketing Communications"
"A & G MASONRY, LLC","3809 BERLEIGH HILL COURT Burtonsville, Maryland 20866 United States",Buliding & Construction,"A & G MASONRY, LLC"
A & G TRUCKING COMPANY,"142 W. 6TH ST. APT 4 Los Angeles, California 90003 United States",Transportation,BOTTOM DUMP TRUCKING; FLAT BED TRUCKING; TRUCKER;
A & J ASSOCIATES,"P.O. BOX 250565 Plano, Texas 75025 United States",Finance,Insurance Agencies and Brokerages
"A & J HAULING, INC.","3511 SILVER PARK DRIVE, APT. 104 SUITLAND, Maryland 20746 United States",Transportation,"A & J HAULING, INC."
"A & K GRADALL, LLC","350 RUTGERS STREET Rockville, Maryland 20850 United States",Professional Services,"A & K GRADALL, LLC"
"A & L CLEANING, LLC","1806 FENWOOD AVENUE OXON HILL, Maryland 20745 United States",Industrial Supplies & Services,"A & L CLEANING, LLC"
A & L INDEPENDENT ADJUSTER &,"INSPECTIONS P. O. BOX 972 Dayton, Texas 77535-0017 United States",Uncategorized,NO description.
A & N TOWING,"6032 SIRENIA PLACE Waldorf, Maryland 20603 United States",Transportation,A & N TOWING
A & R ENERGY INC,"740 GRAMATAN AVENUE Mount Vernon, New York 10552 United States",Buliding & Construction,A & R ENERGY INC
"A & R Trucking, LLC","66 Joshua Hill Windsor, Connecticut 06095 United States",Buliding & Construction,Trucking of Construction Materials.
"A & S GRADING SERVICES, INC.","1089 N. GARFIELD Fresno, California 93722 United States",Home & Garden,SOIL PREPARATION SERVICES; LANDSCAPE & HORTICULTURAL SERVICES; CLEARING & GRUBBING; GRADING; CONSTRUCTION CLEAN UP; DEMOLITION;
"A & T JANITORIAL SERVICES, LLC","6544 PRINCESS GARDEN PARKWAY LANHAM, Maryland 20706 United States",Industrial Supplies & Services,"A & T JANITORIAL SERVICES, LLC"
A & W AUTO DOCTORS,"471 E. CR 2090 #B Kingsville, Texas 78363-8931 United States",Uncategorized,Mobile auto repair business doing general automotive repairs and services on location.
A & W INDUSTRIES,"2033 232ND ST. Torrance, California 90501 United States",Real Estate & Insurance ,JANITORIAL SERVICES; BUILDING MAINTENANCE SERVICES;
A 1 MOBILE SERVICES,"12842 S. HARRIS AVENUE Compton, California 90221 United States",Professional Services,"CONSULTANT, NON ENGINEERING; SERVICES, NEC (NOT ELSEWHERE CLASSIFIED);"
A A SHIPPING INCORPORATED,"11526 HARWIN DRIVE Houston, Texas 77072-1368 United States",Transportation,A A Shipping is an international freight services company that provides domestic/international transportation of various types of cargo as well as con
"A AND J CONSULTING GROUP, LLC","PO BOX 14416 Houston, Texas 77221-4416 United States",Business Services,"CONSULTING & BUSINESS OPRS IN THE FOLLOWING FIELDS; LAW ENFORCEMENT, BUSINESS CONSULTING, BUSINESS START UPS/OPRS, COMMUNITY CARE/SOCIAL SERV CONTRACT"
A BEE RAG SERVICE INC,"3414 KNOX PLACE, SUITE 3C BRONX, New York 10467 United States",Buliding & Construction,A BEE RAG SERVICE INC
"A BETA VUE, LLC","1890 EDGEWOOD ROAD Parkville, Maryland 21234 United States",Real Estate,"A BETA VUE, LLC"
A BETTER CHOICE EDUCATION PROGRAM,"133 N. HENRY ST. Lancaster, Texas 75146 United States",Education,We provide Alcohol & Tobacco Ed. Awareness to Minors. DWI-Repeat Offender Program & administer Substance Abuse Screening. We provide 12 wk. Anger Mana
A BURST OF POSITIVE ENERGY,"1460 E. HOLT AVE. ENTRANCE 3 #188 Pomona, California 91767 United States",Professional Services,"CONSULTANT, NON ENGINEERING; INDIVIDUAL & FAMILY SERVICES; ADMIN. OF EDUCATIONAL PROGRAMS;"
A C ADVERTISING,"321 NORTH DEVILLIERS STREET STE 200 Pensacola, Florida 32501 United States",Professional Services,AC ADVERTISING IS A FULL-SERVICE AGENCY MEDIA BUYING/PROMOTIONS/AND PUBLIC RELATIONS FOR MINORITY MEDIA
"A C C R A COMMUNICATIONS GROUP, INC","700 MURMANSK STREET, STE. 7 Oakland, California 94607 United States",Professional Services,"CONSULTANT, NON ENGINEERING; BUSINESS ADMINISTRATION; MANAGEMENT INFORMATION SYSTEMS; D3610 ELECTRIC DISTRIBUTION EQUIPMENT; ELECTRICAL INDUST"
A C CONCRETE,"5430 DAKOTA DRIVE Jacksonville, Florida 32209- United States",Home Repair & Improvement,CONCRETE BLOCK AND LANDSCAPING
A CONSTRUCTION MAINTENANCE GROUP INC,"933 B SOUTH STATE ROAD 7 Plantation, Florida 33317 United States",Buliding & Construction,WE PROVIDE ADDITIONAL WORKERS NEEDED TO COMPLETE CONSTRUCTION PROJECTS/WE DO CONSTRUCTION CLEAN UP
A CUBED CORPORATION,"P. O. BOX 872695 New Orleans, Louisiana 70187 United States",Home Repair & Improvement,Plumbing; Management
A D S WELDING INC,"6107 LAURELWOOD COURT Orlando, Florida 32808 United States",Uncategorized,WELDING SERVICES
"A D TRAFFIC CONTROL SERVICES, LLC","309 S MCLOUGHLIN BLVD Oregon City, Oregon 97045 United States",Uncategorized,ALL OTHER SUPPORT SERVICES
A D YOUNG INVESTIGATIVE AGENCY,"6499 LAUREL STREET Corona, California 92880 United States",Finance & Legal,SECURITY SYSTEMS SERVICES; LEGAL SERVICES;
A DEE LIGHT DEFENSIVE DRIVING SCHOOL,"14812 AVERY RANCH BLVD #5 Austin, Texas 78717 United States",Education,Provide six (6) hours of instruction on a Texas Education Agency approved Defensive Driving Course for credit and/or safety requirements. Completion
A DENNIS CONSTRUCTION & REMODELING,"71 NYE PARK Rochester, New York 14621 United States",Buliding & Construction,A DENNIS CONSTRUCTION & REMODELING
A DOSE OF BLOOM,"3700 HAMOR COURT Randallstown, Maryland 21133 United States",Home & Garden,A Dose of Bloom has consistently delivered the very best in creativity and interior plant services. You can expect every plant scape program to be sim
A ECO CLEAN ENVIRONMENT LLC,"917 HARDING PARK BRONX, New York 10473 United States",Business Services,A ECO CLEAN ENVIRONMENT LLC
A F A CONSULTING CORP.,"27364 ECHO CANYON CT. CORNOA, California 92883 United States",Professional Services,PAPER; PAPER MILLS; PAPERBOARD MILLS; PAPER & PAPER PRODUCTS;
A F I A CONSULTING,"430 E. SPRUCE AVE #77 Inglewood, California 90301 United States",Professional Services,"CONSULTANT, NON ENGINEERING; PUBLIC RELATIONS;"
A F M ENVIRONMENTAL INC.,"830 NORTHPORT DR., # 204 West Sacramento, California 95691 United States",Buliding & Construction,BUILDING CONSTRUCTION; ASBESTOS REMOVAL/ABATEMENT; BUILDING MAINTENANCE SERVICES;
"A F R A CONSULTING & SERVICES, INC.","12817 PANAMA STREET Los Angeles, California 90066 United States",Information Technology,"CONSULTANT, NON ENGINEERING; BUSINESS ADMINISTRATION; MANAGEMENT INFORMATION SYSTEMS; COMPUTER PROGRAMMING; INTEGRATED SYSTEMS & CAD/CAM SYSTEM"
A Feel Good Experience Spa,"4811 Broadway #B Addison, Texas 75001 United States",Legal,"Offers therapeutic facials, massage, beautiful eyelash extensions, and the best products and resources available in the skin care industry."
A G GASTON CONSTRUCTION COMPANY INC,"2 20th Street North Suite 150 Birmingham, Alabama 35203 United States",Buliding & Construction,"A.G. Gaston provides comprehensive, integrated design-build services in a wide spectrum of markets. With proven success in Aviation, Healthcare, Utili"
A GIFT FROM MY HEART,"P. O. BOX 90644 Austin, Texas 78709-0644 United States",Uncategorized,No description.
A HAROLD AND ASSOCIATES LLC,"11200 ST JOHNS INDUSTRIAL PARKWAY SUITE 1 Jacksonville, Florida 32246 United States",Buliding & Construction,COMPUTER BASED WEB BASED TRAINING IT TECHNOLOGY AND HEAVY CIVIL CONSTRUCTION AND SITE DEVELOPMENT
"A HUG AWAY, INC.","21219 PARK ROYALE DRIVE Katy, Texas 77450-4123 United States",Health,Personal care services-inc. home maker and personal assistance and home health services to aid with transistions. We also offer hospice services.
A J ARCHER CONSTRUCTION & MANAGEMENT COR,"1157 BEDFORD AVENUE BROOKLYN, New York 11216 United States",Buliding & Construction,A J ARCHER CONSTRUCTION & MANAGEMENT COR
A L & H CUSTOM HOMES,"4239 PURDUE ST Houston, Texas 77005-1041 United States",Buliding & Construction,"CONSTRUCTION, BUILD OUT/REMODELING, ETC, CONCRETE, PAINTING,SHEETROCK, ROOF ETC"
A L EASTMOND & SONS INC,"1175 LEGGETT AVE BRONX, New York 10474 United States",Business Services,A L EASTMOND & SONS INC
A L JACKSON & COMPANY PA,"1221Brickell Avenue 9th Floor Miami, Florida 33131-0000 United States",Uncategorized,Information Techology Consulting Audit Tax and Other Consulting Services
"A LA CARTE CATERING & CAKES, INC.","PO BOX 2192 Red Oak, Texas 75154-1573 United States",Business Services,"Full service catering for special or corporate events. Specialty cakes, cookies, pies, pastries, baked breads, salads, soups, vegetables, entrees, be"
A M Y ASSOCIATES LLC,"9432 BAYMEADOWS ROAD Jacksonville, Florida 32256- United States",Professional Services,"MARKETING BUSINESS DEVELOPMENT, PUBLIC RELATIONS AND COMMUNITY OUTREACH"
A MANNA GROUP GRANTWRITER,"2718 W. 48TH ST. Los Angeles, California 90043 United States",Uncategorized,"SERVICES, NEC;"
A MORRISON TRUCKING INC,"834 Rogers Avenue BROOKLYN, New York 11226 United States",Business Services,A MORRISON TRUCKING INC
A NATIONAL AUTO SALES & REPAIR,"1016 HARRISON AVE #600 Arlington, Texas 76011-1506 United States",Uncategorized,"AUTO SALES, COLLISION REPAIR AND MECHANICAL REPAIR FOR AUTOS"
"A NETSAFETY FLAGGING, LLC","310 SW 4TH AVE STE 806 Portland, Oregon 97204 United States",Uncategorized,ALL OTHER SUPPORT SERVICES
A NEW WORLD CONTRACTING CO,"695 SAINT NICHOLAS AVE #47 New York, New York 10030 United States",Buliding & Construction,A NEW WORLD CONTRACTING CO
"A Nubian Notion, Inc","57 Warren Ave Boston, Massachusetts 2116 United States",Specialty Stores,An Afro centric Gift shop selling African-American Products.
A Peace of my Passion Christian Store,"4204 Reddington Trail Raleigh, North Carolina 27616 United States",Uncategorized,A Peace of my Passion Christian Store
"A PLUS LEGAL RESOURCES, LLC","6333 MACARTHUR BOULEVARD Oakland, California 94605 United States",Professional Services,"CONSULTANT, NON ENGINEERING; MANAGEMENT INFORMATION SYSTEMS; EDITING AND WRITING; MISC BUSINESS SERVICES; MANAGEMENT & PUBLIC RELATIONS;"
A PLUS MEDICAL RECORDS SOLUTIONS,"803 EVERGREEN FARM DR Temple, Texas 76502-5357 United States",Uncategorized,"ICD-9/10 CM/PCS Coding and Training, Instructional Designer and Coding Compliance and Reimbursement Consultant,Medical Billing and Transcription"
A PLUS MOVING SERVICES INC,"609 71ST STREET Niagara Falls, New York 14304 United States",Business Services,A PLUS MOVING SERVICES INC
"A PRENTICE GROUP, LLC","3540 CRAIN HIGHWAY, #466 Bowie, Maryland 20716 United States",Real Estate & Insurance ,Our management approach ensures the constant ability to maintain a highly capable repertoire of qualified personnel to ensure requirements are fulfill
"A R BROOKS PAINT CONTRACTING, LLC","908 S. 15TH STREET Monroe, Louisiana 71202 United States",Buliding & Construction,Wall Covering and Painting
A REAL UNIQUE ENTERPRISE LLC,"P O BOX 17124 Jacksonville, Florida 32245- United States",Home Repair & Improvement,LAWN CARE SERVICE LANDSCAPING FENCING TREE TRIMMING AND DEBRIS REMOVAL
A ROYALTY CLEANING SERVICE,"757 GRAND AVENUE, #6 Spring Valley, California 91977 United States",Real Estate & Insurance ,JANITORIAL SERVICES;
"A SAFETYNET FLAGGING, LLC","310 SW 4TH AVE STE 806 Portland, Oregon 97204 United States",Uncategorized,ALL OTHER SUPPORT SERVICES
